Job_Title,Industry,Job_Status,AI_Impact_Level,Median_Salary_USD,Required_Education,Experience_Required_Years,Remote_Work_Ratio_%,Automation_Risk_%,Location,Gender_Diversity_%,Job_Growth_Rate_%
research scientist (life sciences),-0.641440492370885,decreasing,1.2333801917789307,0.9005122283160073,0.7336935575737948,-1.6553237310477846,0.6087071048071306,-0.6711084882173868,-0.6404888791457882,-1.1457174133774626,-0.22124288731650288
tefl teacher,-1.0780321697265105,increasing,1.2333801917789307,0.8322714229391005,0.02494784894377657,-0.1668422368196993,-0.08468046850901015,0.8302878417020986,1.5328700592518643,0.47152061454496863,2.1623974081170294
"editor, magazine features",-1.0780321697265105,increasing,0.01124365612798865,0.15812645083572494,0.7336935575737948,0.8254787593323576,-1.2257725619273265,-0.0930363068129029,0.6635264838928032,-0.8928254975509633,-0.18368137501145682
"journalist, magazine",-1.0780321697265105,increasing,0.01124365612798865,1.4422309750845155,-0.6837978596862417,-0.3322290695117088,0.9729001780481418,0.491954751687984,-0.2058170914662577,0.3179378528786469,-0.27626438850895335
"engineer, land",1.5415178944072427,increasing,0.01124365612798865,-1.1339455960635827,0.02494784894377657,0.8254787593323576,-0.5334245501903706,1.0281677266592288,-1.5098324545048492,-1.3980319504007053,-0.1283880422497988
software engineer,1.1049262170516172,increasing,0.01124365612798865,1.50664442276932,-0.6837978596862417,-0.6630027348957278,0.5993510505944688,-0.636514102735371,-0.2058170914662577,-0.27156590524659496,-0.38307655329017115
"journalist, magazine",1.1049262170516172,increasing,-1.2108928795229534,1.2103954775455772,-1.39254356831626,0.8254787593323576,-0.4821395122839293,0.729964123804253,1.5328700592518643,1.3479816378888638,-0.10828616164812824
administrator,-0.641440492370885,increasing,1.2333801917789307,1.2274750466294233,0.02494784894377657,-0.6630027348957278,-0.12764901378197446,-0.9917984416356732,1.0981982715723337,1.1834286789606616,-0.03737213589272222
telecommunications researcher,-1.514623847082136,increasing,-1.2108928795229534,-0.7309755818715483,-1.39254356831626,0.16393142856431966,1.0515603375397782,-0.6029575488178157,-0.6404888791457882,-0.45170809186273136,-0.15611992471921096
"nurse, adult",0.6683345396959917,decreasing,0.01124365612798865,-0.8748800798206099,1.442439266203813,0.9908655920243671,1.6402987118846672,-1.6944104107754139,0.22885469621327278,-0.9828965908590317,-0.4096765194065255
music tutor,0.2317428623403661,decreasing,0.01124365612798865,1.3186618728780954,1.442439266203813,1.3216392574083862,-0.5452062480877962,-1.6940644669205938,-0.6404888791457882,-0.7738854640800524,-0.3214949228270959
optometrist,1.5415178944072427,decreasing,0.01124365612798865,-0.12588968387256197,-1.39254356831626,-1.3245500656637657,-1.003999425034608,-0.4739204909698967,-0.6404888791457882,-1.2744728865037398,-0.23596624174216976
higher education careers adviser,1.5415178944072427,increasing,0.01124365612798865,-1.155031144558893,-1.39254356831626,0.49470509394833867,0.8744883485519982,1.0063732638055591,1.5328700592518643,0.6083593909168414,0.0486207559935322
arboriculturist,-0.641440492370885,decreasing,-1.2108928795229534,-1.4108221241757395,-1.39254356831626,0.16393142856431966,-0.9197949371206537,0.9420277068090097,-1.5098324545048492,-1.3703177678443765,-0.3455673320078084
brewing technologist,-0.641440492370885,increasing,-1.2108928795229534,-1.0923439837035926,0.7336935575737948,-0.9937764002797468,-0.5452062480877962,-0.5721685457388217,0.22885469621327278,1.178809648534607,0.2843006128685935
housing manager/officer,-1.514623847082136,decreasing,1.2333801917789307,0.2099922343360852,0.7336935575737948,0.49470509394833867,1.052599899118963,-1.1384786360794201,-1.0751606668253186,-0.2530897835423758,-0.3933586109876585
commercial/residential surveyor,0.6683345396959917,increasing,-1.2108928795229534,-0.6104103064514373,-0.6837978596862417,-1.6553237310477846,0.28956169999745246,-1.4764657822387146,0.6635264838928032,0.5448477225585882,0.46931386694598454
aid worker,0.6683345396959917,decreasing,1.2333801917789307,0.2112379088797798,-0.6837978596862417,1.3216392574083862,0.2906012615766371,1.4803163449091754,1.0981982715723337,1.4807787626379387,0.07218728526761223
horticultural therapist,1.1049262170516172,decreasing,1.2333801917789307,0.6110681566791173,0.02494784894377657,-0.9937764002797468,0.4018343505493914,0.42207409301431226,0.6635264838928032,-0.5614100644815324,-0.37147728078450265
